Sentiment Score,Sentiment Type,Very positive,Positive,Neutral,Negative,Very negative
1.0,Negative,2.0%,13.0%,35.0%,44.0%,6.0%
2.0,Neutral,4.0%,19.0%,37.0%,34.0%,6.0%
2.0,Neutral,0.0%,2.0%,84.0%,13.0%,1.0%
1.0,Negative,1.0%,2.0%,18.0%,59.0%,20.0%
2.0,Neutral,1.0%,8.0%,66.0%,23.0%,2.0%
1.0,Negative,3.0%,12.0%,25.0%,51.0%,9.0%
1.0,Negative,0.0%,1.0%,24.0%,65.0%,10.0%
3.0,Positive,14.0%,72.0%,10.0%,3.0%,1.0%
2.0,Neutral,0.0%,5.0%,79.0%,14.0%,1.0%
1.0,Negative,2.0%,6.0%,20.0%,58.0%,14.0%
2.0,Neutral,1.0%,27.0%,64.0%,7.0%,1.0%
1.0,Negative,3.0%,9.0%,33.0%,46.0%,9.0%
1.0,Negative,3.0%,6.0%,20.0%,56.0%,16.0%
1.0,Negative,2.0%,12.0%,33.0%,45.0%,8.0%
1.0,Negative,0.0%,1.0%,40.0%,54.0%,5.0%
1.0,Negative,2.0%,8.0%,39.0%,45.0%,6.0%
3.0,Positive,33.0%,57.0%,6.0%,3.0%,1.0%
1.0,Negative,2.0%,7.0%,40.0%,44.0%,7.0%
2.0,Neutral,0.0%,1.0%,99.0%,0.0%,0.0%
2.0,Neutral,1.0%,4.0%,46.0%,45.0%,5.0%
1.0,Negative,2.0%,11.0%,32.0%,47.0%,8.0%
2.0,Neutral,0.0%,4.0%,66.0%,28.0%,2.0%
3.0,Positive,5.0%,39.0%,32.0%,20.0%,4.0%
2.0,Neutral,6.0%,32.0%,36.0%,20.0%,5.0%
1.0,Negative,1.0%,3.0%,16.0%,67.0%,12.0%
1.0,Negative,2.0%,4.0%,30.0%,55.0%,10.0%
2.0,Neutral,0.0%,3.0%,57.0%,37.0%,3.0%
1.0,Negative,2.0%,8.0%,26.0%,55.0%,10.0%
3.0,Positive,12.0%,41.0%,19.0%,22.0%,6.0%
3.0,Positive,8.0%,47.0%,33.0%,9.0%,2.0%
3.0,Positive,41.0%,49.0%,9.0%,0.0%,0.0%
1.0,Negative,1.0%,1.0%,28.0%,60.0%,10.0%
2.0,Neutral,2.0%,18.0%,54.0%,23.0%,3.0%
3.0,Positive,29.0%,68.0%,3.0%,0.0%,0.0%
2.0,Neutral,1.0%,3.0%,92.0%,4.0%,1.0%
2.0,Neutral,4.0%,32.0%,39.0%,21.0%,4.0%
1.0,Negative,1.0%,4.0%,33.0%,58.0%,5.0%
3.0,Positive,14.0%,68.0%,13.0%,4.0%,1.0%
1.0,Negative,1.0%,4.0%,28.0%,54.0%,13.0%
2.0,Neutral,0.0%,1.0%,90.0%,9.0%,1.0%
3.0,Positive,20.0%,65.0%,9.0%,5.0%,2.0%
3.0,Positive,32.0%,48.0%,14.0%,4.0%,2.0%
3.0,Positive,6.0%,44.0%,40.0%,8.0%,2.0%
3.0,Positive,15.0%,74.0%,8.0%,3.0%,1.0%
1.0,Negative,3.0%,17.0%,36.0%,37.0%,6.0%
3.0,Positive,7.0%,39.0%,29.0%,21.0%,4.0%
1.0,Negative,1.0%,1.0%,12.0%,61.0%,26.0%
3.0,Positive,6.0%,38.0%,28.0%,23.0%,5.0%
1.0,Negative,1.0%,3.0%,22.0%,63.0%,12.0%
3.0,Positive,18.0%,61.0%,16.0%,3.0%,1.0%
2.0,Neutral,1.0%,9.0%,83.0%,6.0%,1.0%
2.0,Neutral,2.0%,15.0%,58.0%,23.0%,3.0%
3.0,Positive,11.0%,34.0%,29.0%,19.0%,7.0%
2.0,Neutral,0.0%,10.0%,77.0%,12.0%,1.0%
3.0,Positive,8.0%,36.0%,25.0%,23.0%,7.0%
1.0,Negative,7.0%,25.0%,29.0%,32.0%,8.0%
2.0,Neutral,5.0%,33.0%,45.0%,13.0%,3.0%
1.0,Negative,1.0%,2.0%,13.0%,73.0%,11.0%
1.0,Negative,1.0%,5.0%,37.0%,48.0%,8.0%
2.0,Neutral,2.0%,3.0%,91.0%,3.0%,1.0%
1.0,Negative,1.0%,1.0%,12.0%,62.0%,25.0%
1.0,Negative,12.0%,20.0%,25.0%,29.0%,13.0%
1.0,Negative,2.0%,5.0%,12.0%,60.0%,22.0%
1.0,Negative,6.0%,14.0%,16.0%,49.0%,15.0%
1.0,Negative,2.0%,9.0%,25.0%,47.0%,16.0%
2.0,Neutral,2.0%,25.0%,38.0%,31.0%,3.0%
3.0,Positive,18.0%,68.0%,11.0%,2.0%,1.0%
3.0,Positive,14.0%,54.0%,20.0%,9.0%,3.0%
1.0,Negative,2.0%,4.0%,14.0%,52.0%,29.0%
1.0,Negative,1.0%,4.0%,29.0%,57.0%,9.0%
3.0,Positive,14.0%,75.0%,8.0%,2.0%,1.0%
1.0,Negative,2.0%,9.0%,28.0%,52.0%,8.0%
1.0,Negative,1.0%,1.0%,6.0%,68.0%,24.0%
2.0,Neutral,1.0%,19.0%,70.0%,9.0%,1.0%
1.0,Negative,1.0%,5.0%,41.0%,47.0%,6.0%
1.0,Negative,1.0%,3.0%,25.0%,61.0%,9.0%
2.0,Neutral,3.0%,21.0%,36.0%,34.0%,5.0%
1.0,Negative,1.0%,6.0%,43.0%,44.0%,7.0%
2.0,Neutral,1.0%,6.0%,70.0%,22.0%,2.0%
1.0,Negative,1.0%,4.0%,23.0%,61.0%,10.0%
3.0,Positive,11.0%,36.0%,19.0%,26.0%,8.0%
1.0,Negative,2.0%,6.0%,17.0%,59.0%,17.0%
1.0,Negative,2.0%,9.0%,24.0%,55.0%,10.0%
1.0,Negative,3.0%,19.0%,27.0%,44.0%,6.0%
2.0,Neutral,3.0%,39.0%,55.0%,2.0%,1.0%
2.0,Neutral,0.0%,6.0%,61.0%,31.0%,3.0%
2.0,Neutral,1.0%,3.0%,64.0%,29.0%,3.0%
1.0,Negative,2.0%,5.0%,27.0%,53.0%,14.0%
3.0,Positive,8.0%,60.0%,11.0%,18.0%,3.0%
1.0,Negative,1.0%,3.0%,33.0%,57.0%,7.0%
1.0,Negative,1.0%,5.0%,33.0%,52.0%,9.0%
1.0,Negative,1.0%,3.0%,11.0%,75.0%,11.0%
1.0,Negative,1.0%,3.0%,17.0%,63.0%,16.0%
3.0,Positive,11.0%,52.0%,24.0%,10.0%,3.0%
3.0,Positive,14.0%,70.0%,13.0%,3.0%,1.0%
1.0,Negative,1.0%,7.0%,30.0%,56.0%,5.0%
3.0,Positive,9.0%,74.0%,15.0%,1.0%,0.0%
2.0,Neutral,2.0%,26.0%,35.0%,35.0%,3.0%
1.0,Negative,1.0%,1.0%,8.0%,61.0%,29.0%
3.0,Positive,31.0%,58.0%,9.0%,1.0%,1.0%
2.0,Neutral,0.0%,6.0%,59.0%,33.0%,2.0%
1.0,Negative,2.0%,4.0%,20.0%,64.0%,10.0%
3.0,Positive,9.0%,53.0%,27.0%,8.0%,2.0%
3.0,Positive,4.0%,53.0%,34.0%,8.0%,1.0%
1.0,Negative,1.0%,2.0%,26.0%,55.0%,16.0%
3.0,Positive,7.0%,47.0%,35.0%,9.0%,2.0%
3.0,Positive,20.0%,65.0%,12.0%,2.0%,1.0%
1.0,Negative,1.0%,2.0%,17.0%,66.0%,15.0%
3.0,Positive,17.0%,44.0%,16.0%,18.0%,6.0%
3.0,Positive,11.0%,68.0%,17.0%,3.0%,1.0%
1.0,Negative,1.0%,7.0%,43.0%,45.0%,5.0%
2.0,Neutral,2.0%,9.0%,57.0%,28.0%,4.0%
1.0,Negative,2.0%,6.0%,17.0%,60.0%,15.0%
2.0,Neutral,1.0%,6.0%,56.0%,34.0%,3.0%
1.0,Negative,1.0%,1.0%,8.0%,59.0%,32.0%
1.0,Negative,5.0%,18.0%,31.0%,38.0%,8.0%
1.0,Negative,1.0%,6.0%,40.0%,48.0%,5.0%
2.0,Neutral,1.0%,10.0%,75.0%,14.0%,1.0%
2.0,Neutral,2.0%,29.0%,44.0%,22.0%,2.0%
1.0,Negative,4.0%,8.0%,22.0%,53.0%,13.0%
1.0,Negative,1.0%,7.0%,40.0%,49.0%,4.0%
3.0,Positive,8.0%,42.0%,35.0%,12.0%,3.0%
1.0,Negative,2.0%,5.0%,22.0%,58.0%,13.0%
3.0,Positive,16.0%,76.0%,7.0%,1.0%,0.0%
2.0,Neutral,0.0%,2.0%,75.0%,21.0%,2.0%
3.0,Positive,25.0%,66.0%,8.0%,1.0%,1.0%
3.0,Positive,7.0%,62.0%,17.0%,11.0%,2.0%
2.0,Neutral,0.0%,4.0%,87.0%,7.0%,1.0%
1.0,Negative,1.0%,6.0%,20.0%,65.0%,8.0%
1.0,Negative,2.0%,8.0%,36.0%,48.0%,7.0%
1.0,Negative,1.0%,3.0%,20.0%,67.0%,9.0%
3.0,Positive,16.0%,46.0%,16.0%,15.0%,6.0%
3.0,Positive,33.0%,63.0%,4.0%,0.0%,0.0%
2.0,Neutral,2.0%,15.0%,50.0%,30.0%,4.0%
2.0,Neutral,2.0%,27.0%,48.0%,20.0%,2.0%
1.0,Negative,1.0%,3.0%,19.0%,66.0%,11.0%
2.0,Neutral,2.0%,9.0%,60.0%,26.0%,4.0%
2.0,Neutral,2.0%,19.0%,63.0%,13.0%,2.0%
3.0,Positive,8.0%,51.0%,32.0%,7.0%,2.0%
2.0,Neutral,2.0%,20.0%,53.0%,21.0%,4.0%
1.0,Negative,2.0%,8.0%,19.0%,58.0%,13.0%
1.0,Negative,1.0%,4.0%,13.0%,62.0%,20.0%
1.0,Negative,0.0%,1.0%,28.0%,64.0%,7.0%
2.0,Neutral,1.0%,19.0%,67.0%,11.0%,2.0%
1.0,Negative,2.0%,10.0%,37.0%,44.0%,7.0%
2.0,Neutral,1.0%,10.0%,60.0%,25.0%,3.0%
1.0,Negative,1.0%,3.0%,23.0%,62.0%,11.0%
1.0,Negative,1.0%,5.0%,20.0%,63.0%,11.0%
1.0,Negative,1.0%,9.0%,24.0%,50.0%,15.0%
1.0,Negative,1.0%,2.0%,27.0%,62.0%,9.0%
1.0,Negative,1.0%,1.0%,13.0%,65.0%,21.0%
1.0,Negative,2.0%,3.0%,16.0%,58.0%,22.0%
0.0,Very negative,1.0%,0.0%,9.0%,40.0%,49.0%
2.0,Neutral,1.0%,4.0%,57.0%,34.0%,3.0%
1.0,Negative,2.0%,7.0%,32.0%,51.0%,8.0%
1.0,Negative,3.0%,1.0%,6.0%,46.0%,44.0%
1.0,Negative,2.0%,8.0%,27.0%,53.0%,10.0%
1.0,Negative,0.0%,2.0%,29.0%,65.0%,5.0%
1.0,Negative,1.0%,2.0%,33.0%,58.0%,7.0%
3.0,Positive,9.0%,36.0%,33.0%,17.0%,5.0%
2.0,Neutral,1.0%,9.0%,86.0%,4.0%,1.0%
2.0,Neutral,2.0%,11.0%,61.0%,24.0%,3.0%
3.0,Positive,9.0%,48.0%,31.0%,10.0%,2.0%
1.0,Negative,1.0%,1.0%,18.0%,56.0%,25.0%
2.0,Neutral,1.0%,13.0%,65.0%,20.0%,2.0%
3.0,Positive,4.0%,74.0%,17.0%,4.0%,1.0%
2.0,Neutral,2.0%,18.0%,44.0%,32.0%,4.0%
1.0,Negative,1.0%,6.0%,32.0%,55.0%,7.0%
3.0,Positive,13.0%,68.0%,17.0%,1.0%,0.0%
2.0,Neutral,0.0%,5.0%,79.0%,14.0%,1.0%
3.0,Positive,19.0%,77.0%,3.0%,1.0%,1.0%
1.0,Negative,1.0%,2.0%,8.0%,53.0%,36.0%
1.0,Negative,1.0%,2.0%,10.0%,70.0%,18.0%
1.0,Negative,1.0%,3.0%,21.0%,67.0%,8.0%
2.0,Neutral,2.0%,12.0%,58.0%,26.0%,3.0%
3.0,Positive,10.0%,56.0%,23.0%,9.0%,2.0%
1.0,Negative,2.0%,4.0%,25.0%,58.0%,12.0%
1.0,Negative,1.0%,3.0%,45.0%,47.0%,5.0%
1.0,Negative,0.0%,1.0%,18.0%,70.0%,11.0%
2.0,Neutral,2.0%,18.0%,59.0%,18.0%,2.0%
3.0,Positive,18.0%,54.0%,12.0%,11.0%,5.0%
2.0,Neutral,1.0%,9.0%,46.0%,40.0%,4.0%
1.0,Negative,1.0%,3.0%,21.0%,59.0%,16.0%
1.0,Negative,1.0%,3.0%,39.0%,50.0%,7.0%
2.0,Neutral,1.0%,10.0%,55.0%,30.0%,4.0%
1.0,Negative,6.0%,17.0%,27.0%,39.0%,11.0%
3.0,Positive,9.0%,61.0%,16.0%,11.0%,3.0%
1.0,Negative,1.0%,4.0%,28.0%,53.0%,13.0%
2.0,Neutral,2.0%,8.0%,59.0%,27.0%,4.0%
1.0,Negative,2.0%,8.0%,34.0%,50.0%,7.0%
2.0,Neutral,0.0%,7.0%,84.0%,7.0%,1.0%
3.0,Positive,11.0%,62.0%,16.0%,9.0%,2.0%
1.0,Negative,2.0%,4.0%,19.0%,56.0%,18.0%
1.0,Negative,1.0%,5.0%,26.0%,61.0%,7.0%
2.0,Neutral,1.0%,13.0%,59.0%,25.0%,3.0%
1.0,Negative,2.0%,5.0%,21.0%,61.0%,12.0%
1.0,Negative,2.0%,10.0%,40.0%,42.0%,6.0%
2.0,Neutral,2.0%,8.0%,54.0%,30.0%,6.0%
1.0,Negative,1.0%,2.0%,19.0%,68.0%,10.0%
1.0,Negative,3.0%,18.0%,35.0%,38.0%,6.0%
2.0,Neutral,3.0%,27.0%,35.0%,31.0%,4.0%
1.0,Negative,3.0%,16.0%,29.0%,45.0%,7.0%
1.0,Negative,2.0%,9.0%,26.0%,55.0%,9.0%
1.0,Negative,2.0%,2.0%,8.0%,61.0%,27.0%
3.0,Positive,20.0%,49.0%,9.0%,16.0%,7.0%
2.0,Neutral,2.0%,10.0%,44.0%,37.0%,6.0%
2.0,Neutral,3.0%,12.0%,40.0%,36.0%,8.0%
1.0,Negative,2.0%,9.0%,37.0%,45.0%,7.0%
1.0,Negative,2.0%,9.0%,24.0%,57.0%,8.0%
3.0,Positive,16.0%,72.0%,9.0%,2.0%,1.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
2.0,Neutral,1.0%,9.0%,61.0%,26.0%,3.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
3.0,Positive,34.0%,49.0%,7.0%,6.0%,4.0%
1.0,Negative,1.0%,2.0%,25.0%,58.0%,14.0%
2.0,Neutral,0.0%,2.0%,54.0%,40.0%,4.0%
2.0,Neutral,6.0%,32.0%,39.0%,19.0%,4.0%
1.0,Negative,1.0%,2.0%,11.0%,65.0%,21.0%
2.0,Neutral,3.0%,32.0%,45.0%,17.0%,2.0%
2.0,Neutral,5.0%,30.0%,40.0%,21.0%,5.0%
2.0,Neutral,0.0%,0.0%,100.0%,0.0%,0.0%
1.0,Negative,1.0%,6.0%,34.0%,54.0%,5.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
2.0,Neutral,1.0%,7.0%,63.0%,27.0%,2.0%
2.0,Neutral,3.0%,25.0%,45.0%,23.0%,3.0%
1.0,Negative,1.0%,6.0%,35.0%,52.0%,6.0%
3.0,Positive,4.0%,47.0%,44.0%,5.0%,1.0%
1.0,Negative,2.0%,3.0%,18.0%,61.0%,16.0%
1.0,Negative,0.0%,2.0%,26.0%,65.0%,6.0%
2.0,Neutral,2.0%,14.0%,40.0%,39.0%,5.0%
1.0,Negative,1.0%,3.0%,36.0%,54.0%,6.0%
1.0,Negative,2.0%,7.0%,25.0%,58.0%,9.0%
1.0,Negative,1.0%,5.0%,19.0%,61.0%,13.0%
1.0,Negative,2.0%,1.0%,12.0%,45.0%,40.0%
1.0,Negative,1.0%,5.0%,34.0%,51.0%,8.0%
3.0,Positive,8.0%,56.0%,21.0%,12.0%,3.0%
2.0,Neutral,2.0%,16.0%,73.0%,8.0%,1.0%
1.0,Negative,6.0%,28.0%,29.0%,31.0%,6.0%
1.0,Negative,1.0%,2.0%,12.0%,72.0%,14.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,3.0%,22.0%,55.0%,19.0%
2.0,Neutral,3.0%,31.0%,33.0%,28.0%,5.0%
1.0,Negative,4.0%,13.0%,23.0%,49.0%,11.0%
1.0,Negative,3.0%,13.0%,34.0%,43.0%,7.0%
1.0,Negative,1.0%,3.0%,19.0%,69.0%,8.0%
2.0,Neutral,3.0%,37.0%,48.0%,10.0%,2.0%
2.0,Neutral,1.0%,7.0%,77.0%,15.0%,1.0%
1.0,Negative,2.0%,10.0%,27.0%,52.0%,9.0%
1.0,Negative,2.0%,6.0%,18.0%,59.0%,16.0%
1.0,Negative,2.0%,5.0%,22.0%,56.0%,15.0%
2.0,Neutral,2.0%,15.0%,61.0%,20.0%,3.0%
3.0,Positive,26.0%,71.0%,2.0%,1.0%,1.0%
2.0,Neutral,0.0%,4.0%,92.0%,3.0%,0.0%
3.0,Positive,7.0%,29.0%,29.0%,28.0%,8.0%
1.0,Negative,2.0%,7.0%,17.0%,59.0%,14.0%
2.0,Neutral,2.0%,17.0%,69.0%,10.0%,2.0%
1.0,Negative,3.0%,6.0%,12.0%,61.0%,19.0%
2.0,Neutral,0.0%,2.0%,48.0%,45.0%,5.0%
1.0,Negative,0.0%,1.0%,29.0%,65.0%,5.0%
1.0,Negative,1.0%,1.0%,15.0%,49.0%,34.0%
1.0,Negative,2.0%,4.0%,10.0%,63.0%,22.0%
3.0,Positive,35.0%,57.0%,6.0%,1.0%,1.0%
2.0,Neutral,2.0%,12.0%,52.0%,29.0%,4.0%
1.0,Negative,2.0%,2.0%,14.0%,49.0%,34.0%
1.0,Negative,1.0%,6.0%,41.0%,47.0%,5.0%
3.0,Positive,5.0%,43.0%,43.0%,7.0%,2.0%
2.0,Neutral,4.0%,23.0%,58.0%,12.0%,2.0%
1.0,Negative,1.0%,1.0%,17.0%,55.0%,26.0%
2.0,Neutral,4.0%,23.0%,58.0%,13.0%,3.0%
1.0,Negative,1.0%,2.0%,17.0%,59.0%,21.0%
3.0,Positive,31.0%,67.0%,1.0%,0.0%,0.0%
3.0,Positive,3.0%,49.0%,44.0%,4.0%,1.0%
1.0,Negative,0.0%,1.0%,32.0%,57.0%,9.0%
1.0,Negative,3.0%,19.0%,33.0%,39.0%,6.0%
3.0,Positive,33.0%,63.0%,4.0%,0.0%,0.0%
1.0,Negative,1.0%,2.0%,24.0%,58.0%,14.0%
2.0,Neutral,0.0%,1.0%,88.0%,10.0%,1.0%
2.0,Neutral,3.0%,31.0%,43.0%,20.0%,3.0%
1.0,Negative,2.0%,8.0%,25.0%,54.0%,10.0%
1.0,Negative,1.0%,4.0%,22.0%,60.0%,13.0%
2.0,Neutral,2.0%,12.0%,67.0%,16.0%,3.0%
1.0,Negative,1.0%,2.0%,10.0%,61.0%,26.0%
3.0,Positive,17.0%,70.0%,11.0%,2.0%,1.0%
2.0,Neutral,5.0%,27.0%,36.0%,26.0%,6.0%
3.0,Positive,7.0%,65.0%,15.0%,11.0%,2.0%
1.0,Negative,1.0%,7.0%,29.0%,57.0%,7.0%
1.0,Negative,5.0%,19.0%,28.0%,38.0%,9.0%
1.0,Negative,2.0%,11.0%,40.0%,42.0%,6.0%
1.0,Negative,1.0%,5.0%,20.0%,61.0%,13.0%
1.0,Negative,1.0%,3.0%,23.0%,63.0%,10.0%
1.0,Negative,1.0%,6.0%,24.0%,60.0%,9.0%
2.0,Neutral,9.0%,13.0%,66.0%,9.0%,3.0%
1.0,Negative,1.0%,1.0%,20.0%,54.0%,23.0%
2.0,Neutral,2.0%,13.0%,54.0%,27.0%,4.0%
2.0,Neutral,4.0%,15.0%,63.0%,14.0%,3.0%
1.0,Negative,1.0%,6.0%,22.0%,63.0%,8.0%
1.0,Negative,1.0%,2.0%,27.0%,60.0%,10.0%
3.0,Positive,14.0%,62.0%,19.0%,4.0%,1.0%
3.0,Positive,9.0%,69.0%,16.0%,5.0%,1.0%
1.0,Negative,3.0%,8.0%,25.0%,54.0%,10.0%
1.0,Negative,2.0%,12.0%,32.0%,47.0%,6.0%
3.0,Positive,7.0%,42.0%,26.0%,21.0%,4.0%
1.0,Negative,1.0%,6.0%,43.0%,45.0%,6.0%
1.0,Negative,1.0%,2.0%,24.0%,62.0%,11.0%
3.0,Positive,26.0%,47.0%,12.0%,10.0%,5.0%
1.0,Negative,1.0%,1.0%,18.0%,57.0%,22.0%
2.0,Neutral,3.0%,27.0%,33.0%,32.0%,5.0%
3.0,Positive,4.0%,43.0%,32.0%,18.0%,4.0%
1.0,Negative,1.0%,3.0%,25.0%,65.0%,7.0%
1.0,Negative,4.0%,14.0%,31.0%,42.0%,9.0%
1.0,Negative,1.0%,3.0%,26.0%,63.0%,7.0%
1.0,Negative,1.0%,3.0%,28.0%,55.0%,13.0%
1.0,Negative,1.0%,2.0%,19.0%,56.0%,22.0%
1.0,Negative,1.0%,3.0%,28.0%,57.0%,10.0%
1.0,Negative,2.0%,6.0%,18.0%,62.0%,13.0%
1.0,Negative,3.0%,12.0%,26.0%,50.0%,9.0%
1.0,Negative,0.0%,2.0%,31.0%,60.0%,7.0%
1.0,Negative,1.0%,2.0%,9.0%,72.0%,16.0%
2.0,Neutral,1.0%,27.0%,70.0%,2.0%,0.0%
1.0,Negative,1.0%,2.0%,17.0%,64.0%,16.0%
1.0,Negative,1.0%,2.0%,18.0%,67.0%,13.0%
3.0,Positive,7.0%,62.0%,24.0%,5.0%,1.0%
1.0,Negative,1.0%,2.0%,16.0%,62.0%,19.0%
2.0,Neutral,6.0%,38.0%,39.0%,14.0%,3.0%
1.0,Negative,4.0%,4.0%,12.0%,55.0%,25.0%
1.0,Negative,1.0%,2.0%,12.0%,64.0%,21.0%
1.0,Negative,0.0%,1.0%,23.0%,66.0%,10.0%
1.0,Negative,1.0%,5.0%,21.0%,60.0%,13.0%
1.0,Negative,2.0%,6.0%,31.0%,52.0%,10.0%
2.0,Neutral,0.0%,9.0%,73.0%,16.0%,1.0%
1.0,Negative,2.0%,4.0%,18.0%,58.0%,18.0%
1.0,Negative,1.0%,6.0%,19.0%,64.0%,11.0%
1.0,Negative,0.0%,2.0%,35.0%,57.0%,6.0%
1.0,Negative,1.0%,2.0%,22.0%,58.0%,16.0%
2.0,Neutral,0.0%,1.0%,51.0%,44.0%,3.0%
2.0,Neutral,4.0%,28.0%,34.0%,30.0%,5.0%
1.0,Negative,1.0%,1.0%,21.0%,67.0%,10.0%
2.0,Neutral,0.0%,6.0%,91.0%,2.0%,0.0%
1.0,Negative,1.0%,3.0%,22.0%,61.0%,13.0%
2.0,Neutral,3.0%,28.0%,55.0%,13.0%,2.0%
3.0,Positive,34.0%,53.0%,7.0%,3.0%,2.0%
2.0,Neutral,2.0%,9.0%,58.0%,27.0%,5.0%
1.0,Negative,1.0%,1.0%,12.0%,53.0%,32.0%
3.0,Positive,8.0%,44.0%,32.0%,13.0%,3.0%
2.0,Neutral,1.0%,11.0%,57.0%,27.0%,4.0%
3.0,Positive,7.0%,43.0%,25.0%,21.0%,4.0%
1.0,Negative,1.0%,6.0%,26.0%,59.0%,8.0%
1.0,Negative,1.0%,8.0%,40.0%,45.0%,6.0%
1.0,Negative,3.0%,14.0%,26.0%,49.0%,8.0%
1.0,Negative,1.0%,2.0%,13.0%,72.0%,12.0%
2.0,Neutral,0.0%,4.0%,86.0%,9.0%,1.0%
2.0,Neutral,2.0%,13.0%,40.0%,39.0%,6.0%
1.0,Negative,1.0%,1.0%,10.0%,60.0%,28.0%
3.0,Positive,7.0%,49.0%,32.0%,9.0%,2.0%
1.0,Negative,1.0%,2.0%,16.0%,53.0%,29.0%
3.0,Positive,11.0%,43.0%,26.0%,16.0%,4.0%
1.0,Negative,1.0%,4.0%,40.0%,50.0%,6.0%
1.0,Negative,0.0%,1.0%,14.0%,70.0%,14.0%
1.0,Negative,2.0%,4.0%,19.0%,58.0%,17.0%
1.0,Negative,1.0%,4.0%,26.0%,59.0%,10.0%
2.0,Neutral,2.0%,7.0%,54.0%,32.0%,6.0%
1.0,Negative,1.0%,1.0%,13.0%,65.0%,19.0%
2.0,Neutral,1.0%,8.0%,52.0%,36.0%,4.0%
